Left_mean_margin,Left_std_margin,Left_min_margin,Left_max_margin,Left_median_margin,Left_skewness_margin,Left_kurtosis_margin,Right_mean_margin,Right_std_margin,Right_min_margin,Right_max_margin,Right_median_margin,Right_skewness_margin,Right_kurtosis_margin,Mean of Pen Pressure,Standard Deviation of Pen Pressure,Class_Label
424.785,477.7703226,90,2104,163.5,1.998498291,3.217068446,85.745,119.3835505,4,793,53,2.455049047,7.364256538,244.7549236,35.20841925,1
518.665,481.9419602,247,2174,307,2.675214353,6.263808462,426.36,625.554725,12,2175,115,1.650699343,1.656902762,250.5480982,23.22535049,1
578.68,651.0012139,1,2222,362,1.020632231,-0.052217607,163.085,132.355839,39,528,110,1.307674591,0.818639974,246.4123197,30.43226009,1
581.125,517.3902616,1,1502,454.5,0.5018205,-1.221769022,200.445,291.8662821,23,1050,56.5,1.86573992,2.002959298,247.1962496,29.13911367,1
570.12,634.058615,0,2067,433,0.966389251,-0.192225308,157.18,82.66307227,67,403,129.5,1.14498594,0.458321753,247.0375357,29.04413235,1
403.88,507.0330147,0,1882,213,1.697934918,2.129743042,167.05,149.7215422,16,1353,122,2.909013591,18.11878272,248.4811827,26.43665036,1
483.695,603.5017346,109,2122,243.5,2.254687955,3.341001776,502.4,731.2577518,16,2123,128,1.48727907,0.501943294,245.5620497,31.48993804,1
206.725,83.18768134,106,763,235.5,1.748150325,8.711294631,368.99,465.2067676,14,1795,129,1.240378686,0.170619208,246.2363284,30.88244806,1
552.745,570.8080669,153,1866,259,1.301315563,-0.024789255,556.26,647.8230049,89,2011,157,1.14026126,-0.355618543,247.0209783,29.40087266,1
868.67,776.1604061,170,2159,426,0.750016935,-1.052212976,876.175,768.5786623,75,2160,629.5,0.72751494,-0.957827672,248.7460563,26.1317601,1
332.38,524.7680087,31,2083,83,2.098536893,3.500998016,119.48,185.6696683,1,921,36.5,2.461897968,6.664853226,249.8321353,23.01752833,1
215.67,340.6714049,0,1575,68,2.444133165,4.942519358,178.405,226.7821902,1,869,39,1.279496034,0.563338527,244.8024999,31.56979549,1
248.715,395.074287,0,2082,85,2.395739292,5.04548483,125.59,172.9965925,1,956,51,2.851608647,8.809416514,244.6442892,32.57590912,1
474.67,636.7802498,36,2110,113.5,1.680691132,1.489205795,232.44,549.1430843,1,2111,23,2.985711715,7.392030706,246.4734547,28.42779283,1
471.515,374.7273579,157,1460,290.5,1.393772501,0.719334632,166.885,201.1103644,1,565,81.5,1.277976013,-0.069635776,247.4319225,26.34029761,1
306.755,175.5520366,187,607,204,0.984141367,-1.004503761,127.4,239.5928708,1,957,46,3.017269088,7.579740683,245.2665065,35.32582176,1
143.945,233.3605746,3,1829,86.5,4.89927004,28.57939507,106.49,68.72924008,38,308,106,1.784992351,2.566614035,243.9090357,38.23113296,1
122.04,125.3124673,39,1005,97,4.871500159,26.27950778,357.25,400.0210265,43,2028,287,2.366342738,6.755498784,248.6882523,28.69128412,1
263.53,270.1289458,32,2216,257.5,2.757781546,13.51662386,192.65,250.8817766,1,2217,103.5,3.65648956,21.41452661,248.1429785,26.95106038,1
373.545,416.9505206,61,1475,317.5,1.587772414,1.427849274,309.57,504.4415641,1,1731,68,1.949129949,2.58520497,248.4708843,26.15512608,1
156.96,340.564737,1,2122,41.5,4.018437746,17.22163841,243.46,311.256472,32,1102,91,1.758512305,1.560159216,250.5796271,21.23498559,1
158.795,223.4005416,29,1377,86.5,4.047981995,17.85355818,371.105,369.5285792,120,1628,220,2.456328945,5.136455579,250.2692175,22.93297654,1
286.295,422.545978,0,1967,101,2.505416494,6.147300651,65.015,149.163917,1,1374,26,5.549097298,37.26253057,250.8555476,18.77405727,1
717.73,675.0496554,121,2114,396,0.953517008,-0.526154193,92.57,156.1987045,1,875,56,3.247329442,11.53979454,252.8147007,13.52137297,1
222.105,404.0552775,0,1970,48,2.320651899,4.995465308,124.255,206.1979338,1,1679,57.5,3.847579524,19.24567952,248.828002,22.15649862,1
714.72,854.4802597,59,2092,179.5,0.799527432,-1.219647526,462.59,739.7262035,1,2093,55,1.536127296,0.672358303,251.039399,17.38954239,1
381.665,385.1686217,22,1027,164.5,0.763046705,-1.114922655,362.275,433.4565518,29,1221,114,1.215577675,-0.152708475,247.6374227,28.10025187,1
356.03,363.319701,38,1080,187,1.232936891,-0.055824385,249.585,354.375667,20,1180,57,1.771271914,1.703082625,251.8023515,18.60205049,1
250.45,317.0502988,1,1072,145,1.908793783,2.328190926,327.295,412.1836054,64,1240,117,1.517427929,0.58055069,246.9720866,29.22874268,1
463.735,411.2742116,50,1054,223,0.634647681,-1.46653154,351.575,418.4627459,18,1226,131,1.241544628,0.020731211,248.2911428,26.58453883,1
258.385,434.7036382,0,1896,98,2.431842574,5.036417338,98.425,125.0895333,24,1335,56.5,5.496553601,46.62158407,246.8625813,28.21409279,1
474.85,558.9431408,93,1752,195.5,1.411522845,0.413403653,133.995,118.1727505,26,525,80,1.336373726,1.243799605,241.8756937,34.6725113,1
237.395,437.6980775,0,1825,39,2.431273351,5.017600816,171.135,328.0491702,17,1826,63.5,4.035064069,16.41519704,245.7802106,30.79070788,1
151.515,265.1092119,0,1638,70,3.354881805,12.44567418,94.56,91.14319398,18,625,59,1.897037214,5.191609546,251.3427286,19.61144267,1
798.805,374.4822851,34,1038,1038,-1.162467232,-0.379928137,465.485,485.0803485,33,1193,226,0.709391524,-1.291579955,252.2507242,16.52707448,1
711.975,415.5906911,7,1018,1018,-0.839046169,-1.102464125,359.665,429.6782982,8,1165,120.5,1.115820793,-0.359665608,252.7782647,15.10959085,1
589.45,430.9442449,0,1027,524,-0.247359438,-1.654580101,131.995,208.9833851,1,857,38,2.133837552,3.866038523,252.0423052,15.21608883,1
882.365,307.3644519,168,1078,1077,-1.390509707,0.510446921,502.895,429.704262,24,1299,301.5,1.017369911,-0.491952929,253.3588013,11.43765593,1
495.705,734.8195608,0,2297,105,1.66337679,1.286548424,471.295,706.5103981,1,2298,126.5,1.756678214,1.806296579,246.7694917,27.80993103,1
654.535,627.6994998,149,2282,280.5,1.240300574,0.31998555,369.77,556.778681,26,2283,120,2.334621338,4.83027522,251.771303,17.72799406,1
429.86,526.3034744,0,2340,195.5,1.963851637,3.840327159,363.475,540.1361166,11,2341,82,1.721341947,1.923911669,248.4004173,24.57656401,1
672.915,607.7185508,219,2142,264,1.249990229,0.138488931,331.375,459.3118891,8,1490,145.5,1.75444558,1.698495463,252.2985846,16.09124623,1
473.23,574.8038312,0,1758,166,1.026756786,-0.583007915,222.84,241.5745552,41,1196,106,2.351071572,4.798971013,246.1958219,29.35144236,1
412.13,444.0666041,0,1896,227,0.957114029,-0.384124406,238.795,321.1184333,48,1481,101.5,2.323477447,4.503233956,247.0648255,27.98003619,1
205.82,288.5019488,0,1366,122,2.670137523,7.809784169,171.13,252.0418787,25,1436,62,3.505725462,13.61135611,244.7962023,31.5344193,1
780.165,679.4012201,178,2313,475,0.883815038,-0.627300951,257.775,301.4914424,89,2314,155.5,4.1973683,21.77579161,251.4472742,19.33780441,1
399.94,318.5555439,50,791,300,0.26735443,-1.730628813,321.01,345.2783014,63,1269,162.5,1.786982664,2.01407495,248.1569321,28.67859251,1
304.495,343.4377636,15,870,105,0.805874566,-1.040548833,298.34,412.0655951,33,1202,85,1.572102148,0.749765371,248.0827384,29.53613878,1
220.31,258.6994413,0,761,81,1.153606588,-0.166627015,210.3,246.7721265,40,1219,153,2.896900794,8.763680428,247.3419353,31.16682241,1
461.72,306.1353227,162,1055,367,0.86939395,-0.470451761,224.665,188.5335974,83,1312,144,2.972580526,12.35561503,250.408054,24.29925201,1
143.88,259.0538944,1,1337,39,2.918557508,9.451048714,244.895,393.2273806,26,2167,90.5,3.263948364,11.4352232,248.9509691,23.1113121,1
680.965,725.168498,124,2388,282,1.096345192,-0.488338727,345.165,222.4282794,234,2389,248,4.703135316,35.0448091,253.0587522,13.39272601,1
485.83,587.0554588,1,1728,171.5,1.053708969,-0.595452529,320.915,500.0027515,8,2061,115.5,2.130845819,3.602035308,250.8668407,19.25008633,1
354.125,587.9571818,0,2059,103,2.19892321,3.504148,338.595,611.0848422,10,2060,71,2.188521587,3.344219135,251.7387475,17.51172333,1
319.945,329.3353318,143,2047,216.5,3.384899497,11.7598323,163.665,224.4702592,7,1440,65,3.010087247,12.7353598,246.9931396,27.45111858,1
286.455,179.3781217,96,853,234.5,1.238888873,0.928413515,106.515,263.2302616,1,1241,34,3.761578146,12.7009703,248.0803144,25.65402243,1
276.215,349.4731696,67,1741,165,3.069317244,9.729406538,264.185,449.8655307,1,1918,77.5,2.750467368,6.754633617,246.351364,30.20918349,1
412.93,445.781641,31,1621,170.5,1.244828973,0.134759241,314.42,325.9341636,26,1170,126.5,0.934307472,-0.346231321,249.0784721,23.36614467,1
469.085,433.9638243,83,1448,402.5,1.114975805,0.025870032,154.19,136.8104139,22,475,105,1.126057185,0.005018582,248.3783661,23.97350073,1
244.95,169.903187,100,761,147.5,1.129836648,0.059797653,325.555,317.2460595,6,1266,196.5,0.501674413,-1.138272863,248.7388283,23.57554105,1
177.195,208.0662993,2,1562,175,3.310215609,17.95722266,62.89,71.42475325,1,331,36,2.518348624,5.965461206,245.39074,29.64744931,1
207.085,359.8985309,14,1678,82.5,3.255320239,9.697236149,241.24,200.6162927,85,847,128,1.657173385,2.01197582,248.4411839,24.09045254,1
186.815,223.1700138,0,763,84,1.391405087,0.722565327,306.305,417.0668481,12,1844,130,1.951786489,3.022566903,249.8555655,23.01878328,1
450.465,428.4011162,43,1709,208.5,1.049547658,0.244423387,215.87,301.4002883,16,1391,124.5,2.696832427,6.725548679,252.1002256,17.23977359,1
363.19,544.4976791,1,1968,126,1.863972904,2.232677241,172.37,237.1612116,3,979,65,2.089227476,3.63855693,243.0707239,34.6718627,1
216.24,139.5221652,52,572,162.5,1.153850354,0.47004967,342.595,492.855408,29,2023,93,2.110506047,3.675442446,244.2527035,33.53030548,1
272.32,416.3309922,56,2150,105,2.739531783,7.195555221,253.975,500.6745143,1,2151,55.5,2.816230911,6.662681049,247.2623839,29.06993635,1
419.63,628.0076842,20,2063,135.5,1.964941644,2.242822273,432.945,705.1811214,10,2064,64,1.518527694,0.540152396,249.5540718,24.85283099,1
208.705,176.8850462,5,454,138.5,0.296744675,-1.584367513,272.68,363.903692,27,1707,66,1.801001162,3.242872186,245.9642807,31.45914026,1
231.095,243.1009385,80,2120,159,5.038946901,34.39807873,138.94,173.7244581,1,558,66,1.620977476,1.176025822,248.2514726,27.49251482,1
