Right_mean_margin,Right_std_margin,Right_min_margin,Right_max_margin,Right_median_margin,Right_skewness_margin,Right_kurtosis_margin,Left_mean_margin,Left_std_margin,Left_min_margin,Left_max_margin,Left_median_margin,Left_skewness_margin,Left_kurtosis_margin
357.25,400.02102645741036,43,2028,287.0,2.3663427377940165,6.755498783792401,122.04,125.31246734607782,39,1005,97.0,4.8715001590439,26.27950778031229
192.65,250.881776598353,1,2217,103.5,3.6564895599414085,21.41452661035494,263.53,270.128945758657,32,2216,257.5,2.757781545943659,13.516623862724813
309.57,504.44156406643293,1,1731,68.0,1.9491299491182343,2.5852049697101105,373.545,416.9505206355923,61,1475,317.5,1.5877724140629108,1.4278492742827087
243.46,311.2564719918031,32,1102,91.0,1.7585123054454954,1.5601592163507991,156.96,340.5647370185329,1,2122,41.5,4.018437745821342,17.221638413230504
371.105,369.528579177776,120,1628,220.0,2.456328945292997,5.136455578820646,158.795,223.4005415949671,29,1377,86.5,4.047981994541425,17.85355817808258
65.015,149.16391703669035,1,1374,26.0,5.549097298341288,37.26253056997869,286.295,422.54597796270895,0,1967,101.0,2.5054164944363437,6.147300650591248
92.57,156.1987044644798,1,875,56.0,3.2473294421624392,11.53979454367116,717.73,675.0496554227935,121,2114,396.0,0.9535170077271092,-0.5261541930156128
124.255,206.19793382711882,1,1679,57.5,3.8475795241617363,19.24567951929091,222.105,404.0552775444937,0,1970,48.0,2.3206518987089573,4.995465308413139
462.59,739.7262035245908,1,2093,55.0,1.5361272955008656,0.6723583033351028,714.72,854.4802596730108,59,2092,179.5,0.799527432001151,-1.219647525795183
362.275,433.4565517862569,29,1221,114.0,1.2155776751125424,-0.15270847459812442,381.665,385.1686216588166,22,1027,164.5,0.7630467047385529,-1.1149226551115217
249.585,354.37566697180057,20,1180,57.0,1.7712719143807139,1.703082625039607,356.03,363.31970098747473,38,1080,187.0,1.232936890753389,-0.05582438452558236
327.295,412.18360544542514,64,1240,117.0,1.5174279290264274,0.5805506901119712,250.45,317.05029878522254,1,1072,145.0,1.908793782996247,2.3281909262656466
351.575,418.46274592085047,18,1226,131.0,1.2415446276571127,0.020731211302947194,463.735,411.2742116408513,50,1054,223.0,0.634647681136811,-1.466531540189464
98.425,125.08953326181332,24,1335,56.5,5.496553601135652,46.62158406633164,258.385,434.7036381722617,0,1896,98.0,2.4318425743930887,5.036417337809965
133.995,118.17275053856221,26,525,80.0,1.3363737262772377,1.2437996046959583,474.85,558.943140823256,93,1752,195.5,1.4115228454591036,0.41340365298023185
171.135,328.0491701945406,17,1826,63.5,4.035064068948618,16.41519703629567,237.395,437.6980774575668,0,1825,39.0,2.431273350942543,5.017600816102123
94.56,91.1431939809289,18,625,59.0,1.8970372139376575,5.191609546442299,151.515,265.10921192261736,0,1638,70.0,3.354881805144702,12.445674176160797
465.485,485.080348496502,33,1193,226.0,0.7093915244220625,-1.2915799552703,798.805,374.482285140996,34,1038,1038.0,-1.1624672315080682,-0.37992813739965436
359.665,429.6782982358712,8,1165,120.5,1.1158207933981694,-0.3596656083809133,711.975,415.590691050025,7,1018,1018.0,-0.8390461689388101,-1.1024641247086278
131.995,208.98338510813787,1,857,38.0,2.133837552451578,3.8660385225219427,589.45,430.94424489840344,0,1027,524.0,-0.24735943792108014,-1.6545801007001952
502.895,429.70426195081365,24,1299,301.5,1.0173699105051175,-0.4919529287287303,882.365,307.36445192398656,168,1078,1077.0,-1.3905097072435229,0.5104469214292013
471.295,706.5103981460161,1,2298,126.5,1.7566782140943606,1.8062965791454424,495.705,734.8195607831545,0,2297,105.0,1.6633767900534742,1.2865484240739438
369.77,556.7786809837369,26,2283,120.0,2.334621337792913,4.830275220156128,654.535,627.6994998288807,149,2282,280.5,1.2403005739764057,0.31998554954411906
363.475,540.1361166386557,11,2341,82.0,1.7213419465156918,1.92391166918559,429.86,526.3034743716579,0,2340,195.5,1.9638516370649497,3.84032715943757
331.375,459.31188906032116,8,1490,145.5,1.754445579627175,1.6984954627259983,672.915,607.7185507780712,219,2142,264.0,1.249990229262336,0.13848893090396164
222.84,241.5745552177283,41,1196,106.0,2.351071572392706,4.798971012777835,473.23,574.8038311646923,0,1758,166.0,1.0267567856093933,-0.5830079147531619
238.795,321.11843331718063,48,1481,101.5,2.323477446945947,4.503233956033898,412.13,444.0666040631978,0,1896,227.0,0.957114028503146,-0.3841244059896365
171.13,252.04187874878224,25,1436,62.0,3.505725462497731,13.611356111421223,205.82,288.5019488190017,0,1366,122.0,2.670137523304885,7.809784168608296
257.775,301.4914423729479,89,2314,155.5,4.197368300145883,21.775791613225323,780.165,679.4012200933419,178,2313,475.0,0.88381503773102,-0.6273009514105299
321.01,345.2783014137085,63,1269,162.5,1.7869826642837974,2.014074950466364,399.94,318.55554393679034,50,791,300.0,0.2673544301767206,-1.7306288126128082
298.34,412.0655951100101,33,1202,85.0,1.572102147973803,0.7497653709713306,304.495,343.43776359380144,15,870,105.0,0.8058745662736417,-1.0405488334028976
210.3,246.7721264893186,40,1219,153.0,2.8969007937977898,8.763680428009714,220.31,258.6994412528224,0,761,81.0,1.1536065881422508,-0.1666270152094107
224.665,188.53359743507005,83,1312,144.0,2.972580525857288,12.355615028986058,461.72,306.1353226579618,162,1055,367.0,0.8693939503461585,-0.4704517613115802
244.895,393.22738058176463,26,2167,90.5,3.263948364316409,11.435223202761064,143.88,259.05389439459316,1,1337,39.0,2.9185575081396,9.45104871373228
345.165,222.4282793899234,234,2389,248.0,4.703135316294908,35.04480909821812,680.965,725.1684980248647,124,2388,282.0,1.0963451924771137,-0.4883387270973878
320.915,500.0027515250923,8,2061,115.5,2.1308458187744725,3.6020353077329377,485.83,587.0554587586181,1,1728,171.5,1.0537089688489043,-0.59545252914734
